statement,disease
আমার ধানের পাতা আগা থেইকা হলদা হইয়া শুকায়া যাইতেছে। কি করমু?,Bacterial Leaf Blight
ধানের পাতার সাইড দিয়া হলদে হইয়া মইরা যাইতেছে। সকালে পাতায় শিশিরের লগে আঠা আঠা জিনিস দেহি।,Bacterial Leaf Blight
"আমন ধানের চারা লাগাইছি, অহন পাতা একদিক দিয়া শুকায়া খড় হইয়া যাইতাছে।",Bacterial Leaf Blight
আমার ধানের পাতা সব পুইড়া যাওয়ার মতো হইয়া যাইতেছে।,Bacterial Leaf Blight
আমার ধানের পাতার কিনার দিয়া শুকনা দাগ নামতেছে।,Bacterial Leaf Blight
জমিতে ইউরিয়া সার বেশি দেওয়ার পর থেইকাই আমার ধানের পাতা পোড়া শুরু হইছে।,Bacterial Leaf Blight
আমার বি আর-২৯ ধানের পাতা সাইড থেকে হলদে হইয়া আসতেছে।,Bacterial Leaf Blight
এই ধান গাছের পাতা পোড়া রোগের কি কোনো চিকিৎসা নাই? সব ধান শেষ হইয়া গেলো।,Bacterial Leaf Blight
সকালে ধান খেতের মইধ্যে গেলে পাতায় শিশিরের মতো এক ধরনের বিচি বিচি জিনিস দেখা যায়।,Bacterial Leaf Blight
আমার পুরা ধান খেতটাই বাদামী হইয়া যাইতেছে। মনে হয় আর ধান পামু না।,Bacterial Leaf Blight
আজ সারাদিনের বৃষ্টির পর আমার ধানের পাতা পোড়া রোগটা আরও ছড়াইয়া গেছে।,Bacterial Leaf Blight
"আমার ধানের পাতার আগাটা শুকায়া এমন হইছে যে, মনে হইতাছে কেউ আগুন ধরাইয়া দিছিলো।",Bacterial Leaf Blight
এই পাতা পোড়া রোগে আমার ধানের সব সবুজ রঙটাই নষ্ট হইয়া গেলো। 😟,Bacterial Leaf Blight
"ধানের পাতার কিনার দিয়া যে হলদে দাগ, সেইটা দিন দিন চওড়া হইতাছে।",Bacterial Leaf Blight
"সকালে আমার ধানের পাতার আগায় হলদে আঠার মতো জিনিস দেখছিলাম, এইডা কি?",Bacterial Leaf Blight
আমার আমন ধানের চারাগুলার পাতা সব খড়ের মতো হইয়া যাইতাছে।,Bacterial Leaf Blight
এই ধান গাছের পাতা পোড়া রোগটা আমার সব আশা ভরসা কাইড়া নিতাছে।,Bacterial Leaf Blight
আমার ধানের পাতার দাগগুলা কেমন জানি ঢেউ খেলানো।,Bacterial Leaf Blight
"এইবার আমার ধানের পাতা এমনভাবে পুড়ছে যে, খেতের দিকে তাকানোই যায় না।",Bacterial Leaf Blight
আমার বিআর-৪৯ ধানের পাতায় এই পোড়া রোগটা খুব বেশি দেখা যাইতাছে।,Bacterial Leaf Blight
ধানের পাতা সাইড থেইকা শুকাইতে শুকাইতে মাঝখানে চইলা আসতাছে।,Bacterial Leaf Blight
এই পাতা পোড়া রোগের কারণে আমার ধানের গাছগুলা আর বাড়তেই পারতেছে না।,Bacterial Leaf Blight
আমার পুরা ধান খেতটাই কেমন জানি একটা বাদামী রঙ ধইরা ফেলছে।,Bacterial Leaf Blight
আমার ধানের পাতার আগায় সকালে পুঁতির দানার মতো হলদে জিনিস দেখা যায়।,Bacterial Leaf Blight
"এই রাইত বেলাও চিন্তা হইতাছে, কাল সকালে না জানি আমার ধানের পাতা পোড়া আরও কত বাড়ে।",Bacterial Leaf Blight
"আমার ধানের পাতা শুকায়া এমন হইছে যে, বাতাসেই ভাইঙ্গা যাইতাছে।",Bacterial Leaf Blight
"এই পাতা পোড়া রোগটা কি সারের কারণে হয়, নাকি আবহাওয়ার কারণে? 🤔",Bacterial Leaf Blight
"আমার ধানের পাতা এমনভাবে নষ্ট হইছে যে, আর সালোকসংশ্লেষণ হইবো বইলা মনে হয় না।",Bacterial Leaf Blight
"ধানের পাতার আগা থেইকা যে মরাটা শুরু হইছে, সেইটা এখন পুরা পাতাতেই ছড়াইছে।",Bacterial Leaf Blight
"আমার জমির যে পাশের ধানে বাতাস বেশি লাগে, সেই পাশের পাতা পোড়া রোগটাও বেশি।",Bacterial Leaf Blight
এইবার আমার ধানের পাতা পোড়া দেইখা গ্রামের সবাই আফসোস করতাছে।,Bacterial Leaf Blight
আমার ধানের পাতার কিনারগুলা সব মইরা যাইতাছে।,Bacterial Leaf Blight
এই পাতা পোড়া রোগটা কি এক খেত থেইকা আরেক খেত পর্যন্ত ছড়াইতে পারে?,Bacterial Leaf Blight
আমার ধানের পাতা এমনভাবে শুকায়া যাইতেছে যেনো জমিতে কোনো রসই নাই।,Bacterial Leaf Blight
সকালে শিশিরের সাথে আমার ধানের পাতায় আঠা আঠা কষের মতো বাইর হয়।,Bacterial Leaf Blight
এইবার আমার ধানের পাতা পোড়ার কারণে ফলন অর্ধেকে নাইমা আসবো মনে হয়।,Bacterial Leaf Blight
আমার ধানের পাতার দাগগুলা কেমন জানি একটা ময়লাটে সাদা রঙের।,Bacterial Leaf Blight
এই পাতা পোড়া রোগের কারণে আমার ধানের শীষ ঠিকমতো বাইর হইতে পারবো না।,Bacterial Leaf Blight
"আমার ধানের পাতা দেইখা মনে হইতাছে এইবার আর লাভ তো দূরের কথা, দেনা হইয়া যামু। 😥",Bacterial Leaf Blight
"ধানের পাতার আগাটা এমনভাবে শুকাইছে যে, দেখতে পুরাই মরা।",Bacterial Leaf Blight
আমার ধানের পাতার এই পোড়া রোগটা কি বীজের মাধ্যমে ছড়াইছে?,Bacterial Leaf Blight
এইবার আমার ধানের পাতা পোড়া দেইখা মনে হইতাছে আমার কপালটাই পুড়ছে।,Bacterial Leaf Blight
আমার ধানের পাতার সাইডগুলা সব খড়ের মতো রঙ ধইরা ফেলছে।,Bacterial Leaf Blight
এই পাতা পোড়া রোগের কারণে আমার ধানের গাছগুলার সব তেজ কইমা গেছে।,Bacterial Leaf Blight
"আমার ধানের পাতায় সকালে যে আঠাটা দেখা যায়, সেইটা শুকায়া গুঁড়া হইয়া যায়।",Bacterial Leaf Blight
এইবার আমার ধানের পাতা পোড়ার কারণে খুব লোকসানে পড়মু।,Bacterial Leaf Blight
আমার ধানের পাতার কিনার বরাবর একটা হলদে রেখা দেখা যাইতাছে।,Bacterial Leaf Blight
এই পাতা পোড়া রোগটা আমার সব পরিশ্রমই বৃথা কইরা দিলো।,Bacterial Leaf Blight
"আমার ধানের পাতা এমনভাবে পুড়ছে যে, মনে হইতাছে কেউ বিষ দিয়া দিছে।",Bacterial Leaf Blight
"ধানের পাতার আগা থেইকা যে শুকনা ভাবটা শুরু হইছে, সেইটা দিন দিন বাড়তাছে।",Bacterial Leaf Blight
আমার ধানের পাতা পোড়া রোগটা এইবার খুব দ্রুত ছড়াইতাছে।,Bacterial Leaf Blight
এই পাতা পোড়া রোগে আমার ধানের সব সতেজ ভাবটাই নষ্ট হইয়া গেলো। 😫,Bacterial Leaf Blight
আমার ধানের পাতার কিনারগুলা সব ভাইঙ্গা যাইতাছে।,Bacterial Leaf Blight
এই পাতা পোড়া রোগটা কি ধানের সব জাতের মইধ্যেই হয়?,Bacterial Leaf Blight
"আমার ধানের পাতা এমনভাবে নষ্ট হইছে যে, আর ভালো হওয়ার কোনো লক্ষণই নাই।",Bacterial Leaf Blight
ধানের পাতার আগাটা পইচা যাইতাছে।,Bacterial Leaf Blight
আমার ধানের পাতা পোড়া দেইখা আমার রাতের ঘুম নষ্ট হইয়া গেছে।,Bacterial Leaf Blight
এই পাতা পোড়া রোগের কারণে আমার ধানের গাছগুলা আর কোনোদিনও ভালো হইবো না।,Bacterial Leaf Blight
আমার ধানের পাতার সাইডগুলা সব শুকায়া ভিতরের দিকে মুইড়া যাইতাছে।,Bacterial Leaf Blight
এইবার আমার ধানের পাতা পোড়া দেইখা মনে হইতাছে আমার সব স্বপ্নই ভাইঙ্গা গেলো।,Bacterial Leaf Blight
"আমার ধানের পাতার কিনারগুলা এমনভাবে শুকাইছে যে, ধরলেই গুঁড়া হইয়া যায়।",Bacterial Leaf Blight
এই পাতা পোড়া রোগটা আমার ধানের সব সৌন্দর্যই নষ্ট কইরা দিলো।,Bacterial Leaf Blight
আমার ধানের পাতা দেইখা মনে হইতাছে এইবার আর আসল টাকাটাই ঘরে তুলতে পারমু না।,Bacterial Leaf Blight
"ধানের পাতার আগা থেইকা যে হলদে ভাবটা শুরু হইছে, সেইটা এখন পুরা পাতাতেই ছড়াইছে।",Bacterial Leaf Blight
"আমার ধানের পাতা পোড়া রোগটা এইবার এত বাড়ছে যে, ওষুধ দিয়াও কোনো কাজ হইতাছে না।",Bacterial Leaf Blight
এই পাতা পোড়া রোগে আমার ধানের সব লাভজনকতাই নষ্ট হইয়া গেলো।,Bacterial Leaf Blight
"আমার ধানের পাতার কিনারগুলা সব এমনভাবে শুকাইছে যে, মনে হইতাছে কেউ কাঁচি দিয়া কাইটা দিছে।",Bacterial Leaf Blight
এই পাতা পোড়া রোগটা আমার সব আশা ভরসাই নষ্ট কইরা দিতাছে।,Bacterial Leaf Blight
আমার ধানের পাতা দেইখা মনে হইতাছে এইবার আর কোরবানির গরু কেনা হইবো না। 😟,Bacterial Leaf Blight
"ধানের পাতার আগাটা এমনভাবে মইরা যাইতাছে যে, গাছ আর বাড়তেই পারতেছে না।",Bacterial Leaf Blight
আমার ধানের পাতা পোড়া দেইখা আমার খুব অসহায় লাগতাছে।,Bacterial Leaf Blight
এই পাতা পোড়া রোগের কারণে আমার ধানের গাছগুলার সব শক্তিই কইমা গেছে।,Bacterial Leaf Blight
"আমার ধানের পাতার সাইডগুলা সব এমনভাবে শুকাইছে যে, মনে হইতাছে আর কোনোদিনও সবুজ হইবো না।",Bacterial Leaf Blight
এইবার আমার ধানের পাতা পোড়া দেইখা মনে হইতাছে আমার সব পরিশ্রমই পানিতে গেলো।,Bacterial Leaf Blight
"আমার ধানের পাতার কিনারগুলা সব এমনভাবে মইরা গেছে যে, আর কোনো কিছুই করার নাই।",Bacterial Leaf Blight
এই পাতা পোড়া রোগটা আমার সব আয়রোজগারই নষ্ট কইরা দিলো।,Bacterial Leaf Blight
আমার ধানের পাতা দেইখা মনে হইতাছে এইবার আর ছেলেমেয়ের ভালো কাপড় কেনা হইবো না।,Bacterial Leaf Blight
"ধানের পাতার আগা থেইকা যে পোড়া ভাবটা শুরু হইছে, সেইটা এখন পুরা খেতেই ছড়াইছে।",Bacterial Leaf Blight
"আমার ধানের পাতা পোড়া রোগটা এইবার এত বেশি যে, গ্রামের সবাই খালি আমার খেতের দিকেই তাকায়া থাকে।",Bacterial Leaf Blight
এই পাতা পোড়া রোগে আমার ধানের সব গুণাগুণই নষ্ট হইয়া গেলো।,Bacterial Leaf Blight
"আমার ধানের পাতার কিনারগুলা সব এমনভাবে নষ্ট হইছে যে, আর কোনো উপায়ই নাই।",Bacterial Leaf Blight
এই পাতা পোড়া রোগটা আমার সব সম্পদই নষ্ট কইরা দিলো। 😭,Bacterial Leaf Blight
আমার ধানের পাতা দেইখা মনে হইতাছে এইবার আর দেনা শোধ করতে পারমু না।,Bacterial Leaf Blight
"ধানের পাতার আগাটা এমনভাবে নষ্ট হইছে যে, গাছ আর কোনোদিনও ভালো দেখাইবো না।",Bacterial Leaf Blight
আমার ধানের পাতা পোড়া দেইখা আমার খুব কষ্ট হইতাছে।,Bacterial Leaf Blight
এই পাতা পোড়া রোগের কারণে আমার ধানের সব মান সম্মানই নষ্ট হইয়া গেলো।,Bacterial Leaf Blight
"আমার ধানের পাতার সাইডগুলা সব এমনভাবে নষ্ট হইছে যে, আর কোনো কিছুই করার মতো নাই।",Bacterial Leaf Blight
এইবার আমার ধানের পাতা পোড়া দেইখা মনে হইতাছে আমার সব কিছুই শেষ হইয়া গেলো।,Bacterial Leaf Blight
